"","US","Rus","Syr","Tur","S.A.","Iran","ISIS","Hez","IqKrd","Nursa","Iraq","Energy","US_Frustration","Rus_Frustration","Syr_Frustration","Tur_Frustration","S.A._Frustration","Iran_Frustration","ISIS_Frustration","Hez_Frustration","IqKrd_Frustration","Nursa_Frustration","Iraq_Frustration","Local Min"
"891",1,1,1,2,1,1,2,1,1,2,1,-83200,-1900,-2200,-11500,-1500,-2100,-2400,-38000,-2200,-8800,-2100,-10500,TRUE
"330",1,2,2,1,1,2,2,2,1,2,1,-65000,-3300,-100,-6000,-2400,-3000,-1800,-23000,-400,-12800,-1200,-11000,FALSE
"345",1,2,2,1,2,2,1,2,1,1,2,-71800,-600,-2700,-16000,-1300,-2000,-2600,-28000,-2600,-4400,-1600,-10000,FALSE
"596",1,2,2,1,1,2,1,2,1,1,2,-69600,-700,-2700,-16500,-1300,-900,-3000,-26000,-2600,-4400,-1500,-10000,FALSE
"606",1,2,2,1,2,1,1,2,1,1,2,-65800,-400,-2700,-15000,-1100,-2400,400,-26000,-1800,-4400,-1400,-11000,FALSE
"613",1,2,2,1,2,2,1,1,1,1,2,-63000,-200,-2700,-15000,-1300,-2000,-1800,-26000,1800,-4400,-1400,-10000,FALSE
"824",1,2,2,1,1,1,1,2,1,1,2,-62000,-500,-2700,-15500,-1100,-500,800,-24000,-1800,-4400,-1300,-11000,FALSE
"831",1,2,2,1,1,2,1,1,1,1,2,-60800,-300,-2700,-15500,-1300,-900,-2200,-24000,1800,-4400,-1300,-10000,FALSE
"836",1,2,2,1,2,1,1,1,1,1,2,-60200,0,-2700,-14000,-1100,-2400,-400,-24000,1000,-4400,-1200,-11000,FALSE
"961",1,2,2,1,1,1,1,1,1,1,2,-56400,-100,-2700,-14500,-1100,-500,0,-22000,1000,-4400,-1100,-11000,FALSE
"5961",1,2,2,1,1,2,1,2,1,1,2,-69600,-700,-2700,-16500,-1300,-900,-3000,-26000,-2600,-4400,-1500,-10000,FALSE
"834",1,2,2,1,1,2,1,2,1,1,1,-50600,-1200,-2200,-16500,-1300,-900,-4000,-16000,-2600,-4400,-1000,-500,FALSE
"4",1,2,2,1,2,2,2,2,2,2,2,-10200,-2300,-200,-1500,-2800,100,-400,-3000,-400,0,-200,500,FALSE
"29",1,2,2,1,1,2,2,2,2,2,2,-16400,-2400,-200,-2000,-2800,-3000,-800,-5000,-400,0,-300,500,FALSE
"32",1,2,2,1,2,2,2,1,2,2,2,-10200,-1900,-200,-500,-2800,100,400,-5000,-400,0,-400,500,FALSE
"35",1,2,2,1,2,2,2,2,2,2,1,-33200,-2800,300,-1500,-2800,100,-1400,-13000,-400,0,-700,-11000,FALSE
"123",1,2,2,1,1,2,2,1,2,2,2,-16400,-2000,-200,-1000,-2800,-3000,0,-7000,-400,0,-500,500,FALSE
"126",1,2,2,1,1,2,2,2,2,2,1,-39400,-2900,300,-2000,-2800,-3000,-1800,-15000,-400,0,-800,-11000,FALSE
"138",1,2,2,1,2,2,2,1,2,2,1,-33200,-2400,300,-500,-2800,100,-600,-15000,-400,0,-900,-11000,FALSE
"328",1,2,2,1,1,2,2,1,2,2,1,-39400,-2500,300,-1000,-2800,-3000,-1000,-17000,-400,0,-1000,-11000,FALSE
"5",1,2,2,2,1,2,2,2,2,2,2,-10400,-2200,-100,-1000,200,-3000,-600,-4000,-400,400,-200,500,FALSE
"14",1,1,2,2,1,2,2,2,2,2,2,-13400,-2100,-1600,-500,100,-3000,-600,-6000,-400,0,-300,1000,FALSE
"291",1,2,2,1,1,2,2,2,2,2,2,-16400,-2400,-200,-2000,-2800,-3000,-800,-5000,-400,0,-300,500,FALSE
"38",1,2,2,2,1,2,2,1,2,2,2,-10400,-1800,-100,0,200,-3000,200,-6000,-400,400,-400,500,FALSE
"39",1,2,2,2,1,2,2,2,1,2,2,-37600,-2600,-500,-5000,-200,-3000,-600,-12000,-400,-13200,-600,500,FALSE
"41",1,2,2,2,1,2,2,2,2,2,1,-33400,-2700,400,-1000,200,-3000,-1600,-14000,-400,400,-700,-11000,FALSE
"65",1,1,2,1,1,2,2,2,2,2,2,-19000,-2300,-1500,-1500,-2700,-3000,-800,-7000,-400,-400,-400,1000,FALSE
"74",1,1,2,2,1,2,2,1,2,2,2,-13400,-1700,-1600,500,100,-3000,200,-8000,-400,0,-500,1000,FALSE
"75",1,1,2,2,1,2,2,2,1,2,2,-39000,-2500,-1200,-4500,-300,-3000,-600,-14000,-400,-12800,-700,1000,FALSE
"77",1,1,2,2,1,2,2,2,2,2,1,-38400,-2600,-2100,-500,100,-3000,-1600,-16000,-400,0,-800,-11500,FALSE
"1231",1,2,2,1,1,2,2,1,2,2,2,-16400,-2000,-200,-1000,-2800,-3000,0,-7000,-400,0,-500,500,FALSE
"124",1,2,2,1,1,2,2,2,1,2,2,-42000,-2800,-600,-6000,-2400,-3000,-800,-13000,-400,-12800,-700,500,FALSE
"1261",1,2,2,1,1,2,2,2,2,2,1,-39400,-2900,300,-2000,-2800,-3000,-1800,-15000,-400,0,-800,-11000,FALSE
"151",1,2,2,2,1,2,2,1,1,2,2,-37600,-2200,-500,-4000,-200,-3000,200,-14000,-400,-13200,-800,500,FALSE
"153",1,2,2,2,1,2,2,1,2,2,1,-33400,-2300,400,0,200,-3000,-800,-16000,-400,400,-900,-11000,FALSE
"155",1,2,2,2,1,2,2,2,1,2,1,-60600,-3100,0,-5000,-200,-3000,-1600,-22000,-400,-13200,-1100,-11000,FALSE
"207",1,1,2,1,1,2,2,1,2,2,2,-19000,-1900,-1500,-500,-2700,-3000,0,-9000,-400,-400,-600,1000,FALSE
"208",1,1,2,1,1,2,2,2,1,2,2,-43000,-2700,-1100,-5500,-2300,-3000,-800,-15000,-400,-12400,-800,1000,FALSE
"210",1,1,2,1,1,2,2,2,2,2,1,-44000,-2800,-2000,-1500,-2700,-3000,-1800,-17000,-400,-400,-900,-11500,FALSE
"235",1,1,2,2,1,2,2,1,1,2,2,-39000,-2100,-1200,-3500,-300,-3000,200,-16000,-400,-12800,-900,1000,FALSE
"237",1,1,2,2,1,2,2,1,2,2,1,-38400,-2200,-2100,500,100,-3000,-800,-18000,-400,0,-1000,-11500,FALSE
"239",1,1,2,2,1,2,2,2,1,2,1,-64000,-3000,-1700,-4500,-300,-3000,-1600,-24000,-400,-12800,-1200,-11500,FALSE
"326",1,2,2,1,1,2,2,1,1,2,2,-42000,-2400,-600,-5000,-2400,-3000,0,-15000,-400,-12800,-900,500,FALSE
"3281",1,2,2,1,1,2,2,1,2,2,1,-39400,-2500,300,-1000,-2800,-3000,-1000,-17000,-400,0,-1000,-11000,FALSE
"3301",1,2,2,1,1,2,2,2,1,2,1,-65000,-3300,-100,-6000,-2400,-3000,-1800,-23000,-400,-12800,-1200,-11000,FALSE
"369",1,2,2,2,1,2,2,1,1,2,1,-60600,-2700,0,-4000,-200,-3000,-800,-24000,-400,-13200,-1300,-11000,FALSE
"452",1,1,2,1,1,2,2,1,1,2,2,-43000,-2300,-1100,-4500,-2300,-3000,0,-17000,-400,-12400,-1000,1000,FALSE
"454",1,1,2,1,1,2,2,1,2,2,1,-44000,-2400,-2000,-500,-2700,-3000,-1000,-19000,-400,-400,-1100,-11500,FALSE
"456",1,1,2,1,1,2,2,2,1,2,1,-68000,-3200,-1600,-5500,-2300,-3000,-1800,-25000,-400,-12400,-1300,-11500,FALSE
"495",1,1,2,2,1,2,2,1,1,2,1,-64000,-2600,-1700,-3500,-300,-3000,-800,-26000,-400,-12800,-1400,-11500,FALSE
"600",1,2,2,1,1,2,2,1,1,2,1,-65000,-2900,-100,-5000,-2400,-3000,-1000,-25000,-400,-12800,-1400,-11000,FALSE
"726",1,1,2,1,1,2,2,1,1,2,1,-68000,-2800,-1600,-4500,-2300,-3000,-1000,-27000,-400,-12400,-1500,-11500,FALSE
"598",1,2,2,1,1,2,1,2,2,1,1,-58600,-800,-1800,-12500,-1700,-900,-4000,-24000,-2600,-8400,-1400,-500,FALSE
"724",1,1,2,1,1,2,1,2,2,1,1,-54800,-700,100,-12000,-1600,-900,-4000,-22000,-2600,-8800,-1300,-1000,FALSE
"8341",1,2,2,1,1,2,1,2,1,1,1,-50600,-1200,-2200,-16500,-1300,-900,-4000,-16000,-2600,-4400,-1000,-500,FALSE
"918",1,1,2,1,1,2,1,2,1,1,1,-45200,-1100,500,-16000,-1200,-900,-4000,-14000,-2600,-4000,-900,-1000,FALSE
"1018",1,1,1,1,1,1,2,1,1,1,1,-80000,-2000,-2000,-10000,-1000,-2000,-2000,-40000,-2000,-8000,-1000,-10000,FALSE
"49",1,2,2,2,2,2,1,2,2,1,2,-78200,0,-2200,-11000,-900,-2000,-2400,-37000,-2600,-8000,-2100,-10000,FALSE
"85",1,1,2,2,2,2,1,2,2,1,2,-72800,100,500,-10500,-1000,-2000,-2400,-35000,-2600,-8400,-2000,-9500,FALSE
"134",1,2,2,1,2,2,1,2,2,1,2,-79800,-200,-2300,-12000,-1700,-2000,-2600,-36000,-2600,-8400,-2000,-10000,FALSE
"149",1,2,2,2,1,2,1,2,2,1,2,-76000,-100,-2200,-11500,-900,-900,-2800,-35000,-2600,-8000,-2000,-10000,FALSE
"170",1,2,2,2,2,2,1,2,1,1,2,-71800,-400,-2600,-15000,-1300,-2000,-2400,-29000,-2600,-4800,-1700,-10000,FALSE
"172",1,2,2,2,2,2,1,2,2,1,1,-59200,-500,-1700,-11000,-900,-2000,-3400,-27000,-2600,-8000,-1600,-500,FALSE
"218",1,1,2,1,2,2,1,2,2,1,2,-74000,-100,600,-11500,-1600,-2000,-2600,-34000,-2600,-8800,-1900,-9500,FALSE
"233",1,1,2,2,1,2,1,2,2,1,2,-70600,0,500,-11000,-1000,-900,-2800,-33000,-2600,-8400,-1900,-9500,FALSE
"254",1,1,2,2,2,2,1,2,1,1,2,-64800,-300,900,-14500,-1400,-2000,-2400,-27000,-2600,-4400,-1600,-9500,FALSE
"256",1,1,2,2,2,2,1,2,2,1,1,-55800,-400,0,-10500,-1000,-2000,-3400,-25000,-2600,-8400,-1500,-1000,FALSE
"324",1,2,2,1,1,2,1,2,2,1,2,-77600,-300,-2300,-12500,-1700,-900,-3000,-34000,-2600,-8400,-1900,-10000,FALSE
"3451",1,2,2,1,2,2,1,2,1,1,2,-71800,-600,-2700,-16000,-1300,-2000,-2600,-28000,-2600,-4400,-1600,-10000,FALSE
"347",1,2,2,1,2,2,1,2,2,1,1,-60800,-700,-1800,-12000,-1700,-2000,-3600,-26000,-2600,-8400,-1500,-500,FALSE
"365",1,2,2,2,1,2,1,2,1,1,2,-69600,-500,-2600,-15500,-1300,-900,-2800,-27000,-2600,-4800,-1600,-10000,FALSE
"367",1,2,2,2,1,2,1,2,2,1,1,-57000,-600,-1700,-11500,-900,-900,-3800,-25000,-2600,-8000,-1500,-500,FALSE
"385",1,2,2,2,2,2,1,2,1,1,1,-52800,-900,-2100,-15000,-1300,-2000,-3400,-19000,-2600,-4800,-1200,-500,FALSE
"450",1,1,2,1,1,2,1,2,2,1,2,-71800,-200,600,-12000,-1600,-900,-3000,-32000,-2600,-8800,-1800,-9500,FALSE
"471",1,1,2,1,2,2,1,2,1,1,2,-64400,-500,1000,-15500,-1200,-2000,-2600,-26000,-2600,-4000,-1500,-9500,FALSE
"473",1,1,2,1,2,2,1,2,2,1,1,-57000,-600,100,-11500,-1600,-2000,-3600,-24000,-2600,-8800,-1400,-1000,FALSE
"491",1,1,2,2,1,2,1,2,1,1,2,-62600,-400,900,-15000,-1400,-900,-2800,-25000,-2600,-4400,-1500,-9500,FALSE
"493",1,1,2,2,1,2,1,2,2,1,1,-53600,-500,0,-11000,-1000,-900,-3800,-23000,-2600,-8400,-1400,-1000,FALSE
"511",1,1,2,2,2,2,1,2,1,1,1,-47800,-800,400,-14500,-1400,-2000,-3400,-17000,-2600,-4400,-1100,-1000,FALSE
"5962",1,2,2,1,1,2,1,2,1,1,2,-69600,-700,-2700,-16500,-1300,-900,-3000,-26000,-2600,-4400,-1500,-10000,FALSE
"5981",1,2,2,1,1,2,1,2,2,1,1,-58600,-800,-1800,-12500,-1700,-900,-4000,-24000,-2600,-8400,-1400,-500,FALSE
"616",1,2,2,1,2,2,1,2,1,1,1,-52800,-1100,-2200,-16000,-1300,-2000,-3600,-18000,-2600,-4400,-1100,-500,FALSE
"631",1,2,2,2,1,2,1,2,1,1,1,-50600,-1000,-2100,-15500,-1300,-900,-3800,-17000,-2600,-4800,-1100,-500,FALSE
"722",1,1,2,1,1,2,1,2,1,1,2,-62200,-600,1000,-16000,-1200,-900,-3000,-24000,-2600,-4000,-1400,-9500,FALSE
"7241",1,1,2,1,1,2,1,2,2,1,1,-54800,-700,100,-12000,-1600,-900,-4000,-22000,-2600,-8800,-1300,-1000,FALSE
"742",1,1,2,1,2,2,1,2,1,1,1,-47400,-1000,500,-15500,-1200,-2000,-3600,-16000,-2600,-4000,-1000,-1000,FALSE
"757",1,1,2,2,1,2,1,2,1,1,1,-45600,-900,400,-15000,-1400,-900,-3800,-15000,-2600,-4400,-1000,-1000,FALSE
"8342",1,2,2,1,1,2,1,2,1,1,1,-50600,-1200,-2200,-16500,-1300,-900,-4000,-16000,-2600,-4400,-1000,-500,FALSE
"9181",1,1,2,1,1,2,1,2,1,1,1,-45200,-1100,500,-16000,-1200,-900,-4000,-14000,-2600,-4000,-900,-1000,FALSE
"9",1,2,2,2,2,2,2,2,1,2,2,-31400,-2500,-500,-4500,-200,100,-200,-10000,-400,-13200,-500,500,FALSE
"391",1,2,2,2,1,2,2,2,1,2,2,-37600,-2600,-500,-5000,-200,-3000,-600,-12000,-400,-13200,-600,500,FALSE
"44",1,2,2,2,2,1,2,2,1,2,2,-35000,-2300,-500,-3500,-400,-300,-2000,-12000,400,-13200,-700,-500,FALSE
"51",1,2,2,2,2,2,2,1,1,2,2,-31400,-2100,-500,-3500,-200,100,600,-12000,-400,-13200,-700,500,FALSE
"55",1,2,2,2,2,2,2,2,1,2,1,-54400,-3000,0,-4500,-200,100,-1200,-20000,-400,-13200,-1000,-11000,FALSE
"144",1,2,2,2,1,1,2,2,1,2,2,-39600,-2400,-500,-4000,-400,-2600,-1600,-14000,400,-13200,-800,-500,FALSE
"1511",1,2,2,2,1,2,2,1,1,2,2,-37600,-2200,-500,-4000,-200,-3000,200,-14000,-400,-13200,-800,500,FALSE
"1551",1,2,2,2,1,2,2,2,1,2,1,-60600,-3100,0,-5000,-200,-3000,-1600,-22000,-400,-13200,-1100,-11000,FALSE
"161",1,2,2,2,2,1,2,1,1,2,2,-38200,-1900,-500,-2500,-400,-300,-2800,-14000,-1200,-13200,-900,-500,FALSE
"165",1,2,2,2,2,1,2,2,1,2,1,-54000,-2800,0,-3500,-400,-300,-1000,-22000,400,-13200,-1200,-10000,FALSE
"174",1,2,2,2,2,2,2,1,1,2,1,-54400,-2600,0,-3500,-200,100,-400,-22000,-400,-13200,-1200,-11000,FALSE
"356",1,2,2,2,1,1,2,1,1,2,2,-42800,-2000,-500,-3000,-400,-2600,-2400,-16000,-1200,-13200,-1000,-500,FALSE
"360",1,2,2,2,1,1,2,2,1,2,1,-58600,-2900,0,-4000,-400,-2600,-600,-24000,400,-13200,-1300,-10000,FALSE
"3691",1,2,2,2,1,2,2,1,1,2,1,-60600,-2700,0,-4000,-200,-3000,-800,-24000,-400,-13200,-1300,-11000,FALSE
"379",1,2,2,2,2,1,2,1,1,2,1,-57200,-2400,0,-2500,-400,-300,-1800,-24000,-1200,-13200,-1400,-10000,FALSE
"625",1,2,2,2,1,1,2,1,1,2,1,-61800,-2500,0,-3000,-400,-2600,-1400,-26000,-1200,-13200,-1500,-10000,FALSE
"1015",1,1,1,1,1,1,1,1,1,2,1,-6400,-100,-100,-500,-100,-100,-200,-1000,-200,-400,-3200,-500,FALSE
"20",1,1,2,2,2,2,2,2,2,2,1,-32200,-2500,-2100,0,100,100,-1200,-14000,-400,0,-700,-11500,FALSE
"64",1,1,1,2,2,2,2,2,2,2,1,-60200,-2000,-2600,-14000,-900,-400,-200,-24000,600,-4000,-1200,-11500,FALSE
"71",1,1,2,1,2,2,2,2,2,2,1,-37800,-2700,-2000,-1000,-2700,100,-1400,-15000,-400,-400,-800,-11500,FALSE
"771",1,1,2,2,1,2,2,2,2,2,1,-38400,-2600,-2100,-500,100,-3000,-1600,-16000,-400,0,-800,-11500,FALSE
"89",1,1,2,2,2,2,2,1,2,2,1,-32200,-2100,-2100,1000,100,100,-400,-16000,-400,0,-900,-11500,FALSE
"91",1,1,2,2,2,2,2,2,1,2,1,-57800,-2900,-1700,-4000,-300,100,-1200,-22000,-400,-12800,-1100,-11500,FALSE
"183",1,1,1,1,2,2,2,2,2,2,1,-61800,-2200,-2500,-13000,-1700,-400,-400,-25000,600,-4400,-1300,-11500,FALSE
"189",1,1,1,2,1,2,2,2,2,2,1,-64400,-2100,-2600,-13500,-900,-2500,-600,-26000,600,-4000,-1300,-11500,FALSE
"201",1,1,1,2,2,2,2,1,2,2,1,-64200,-1600,-2600,-15000,-900,-400,600,-26000,-1400,-4000,-1400,-11500,FALSE
"203",1,1,1,2,2,2,2,2,1,2,1,-69800,-2400,-2200,-10000,-1300,-400,-200,-32000,600,-8800,-1600,-11500,FALSE
"2101",1,1,2,1,1,2,2,2,2,2,1,-44000,-2800,-2000,-1500,-2700,-3000,-1800,-17000,-400,-400,-900,-11500,FALSE
"222",1,1,2,1,2,2,2,1,2,2,1,-37800,-2300,-2000,0,-2700,100,-600,-17000,-400,-400,-1000,-11500,FALSE
"224",1,1,2,1,2,2,2,2,1,2,1,-61800,-3100,-1600,-5000,-2300,100,-1400,-23000,-400,-12400,-1200,-11500,FALSE
"2371",1,1,2,2,1,2,2,1,2,2,1,-38400,-2200,-2100,500,100,-3000,-800,-18000,-400,0,-1000,-11500,FALSE
"2391",1,1,2,2,1,2,2,2,1,2,1,-64000,-3000,-1700,-4500,-300,-3000,-1600,-24000,-400,-12800,-1200,-11500,FALSE
"258",1,1,2,2,2,2,2,1,1,2,1,-57800,-2500,-1700,-3000,-300,100,-400,-24000,-400,-12800,-1300,-11500,FALSE
"392",1,1,1,1,1,2,2,2,2,2,1,-66000,-2300,-2500,-12500,-1700,-2500,-800,-27000,600,-4400,-1400,-11500,FALSE
"404",1,1,1,1,2,2,2,1,2,2,1,-65800,-1800,-2500,-14000,-1700,-400,400,-27000,-1400,-4400,-1500,-11500,FALSE
"406",1,1,1,1,2,2,2,2,1,2,1,-69800,-2600,-2100,-9000,-1300,-400,-400,-33000,600,-8400,-1700,-11500,FALSE
"419",1,1,1,2,1,2,2,1,2,2,1,-68400,-1700,-2600,-14500,-900,-2500,200,-28000,-1400,-4000,-1500,-11500,FALSE
"421",1,1,1,2,1,2,2,2,1,2,1,-74000,-2500,-2200,-9500,-1300,-2500,-600,-34000,600,-8800,-1700,-11500,FALSE
"440",1,1,1,2,2,2,2,1,1,2,1,-73800,-2000,-2200,-11000,-1300,-400,600,-34000,-1400,-8800,-1800,-11500,FALSE
"4541",1,1,2,1,1,2,2,1,2,2,1,-44000,-2400,-2000,-500,-2700,-3000,-1000,-19000,-400,-400,-1100,-11500,FALSE
"4561",1,1,2,1,1,2,2,2,1,2,1,-68000,-3200,-1600,-5500,-2300,-3000,-1800,-25000,-400,-12400,-1300,-11500,FALSE
"475",1,1,2,1,2,2,2,1,1,2,1,-61800,-2700,-1600,-4000,-2300,100,-600,-25000,-400,-12400,-1400,-11500,FALSE
"4951",1,1,2,2,1,2,2,1,1,2,1,-64000,-2600,-1700,-3500,-300,-3000,-800,-26000,-400,-12800,-1400,-11500,FALSE
"650",1,1,1,1,1,2,2,1,2,2,1,-70000,-1900,-2500,-13500,-1700,-2500,0,-29000,-1400,-4400,-1600,-11500,FALSE
"652",1,1,1,1,1,2,2,2,1,2,1,-74000,-2700,-2100,-8500,-1300,-2500,-800,-35000,600,-8400,-1800,-11500,FALSE
"671",1,1,1,1,2,2,2,1,1,2,1,-73800,-2200,-2100,-10000,-1300,-400,400,-35000,-1400,-8400,-1900,-11500,FALSE
"691",1,1,1,2,1,2,2,1,1,2,1,-78000,-2100,-2200,-10500,-1300,-2500,200,-36000,-1400,-8800,-1900,-11500,FALSE
"7261",1,1,2,1,1,2,2,1,1,2,1,-68000,-2800,-1600,-4500,-2300,-3000,-1000,-27000,-400,-12400,-1500,-11500,FALSE
"866",1,1,1,1,1,2,2,1,1,2,1,-78000,-2300,-2100,-9500,-1300,-2500,0,-37000,-1400,-8400,-2000,-11500,FALSE
